               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.17137,           0.0072387,             0.04683,                   0,                   0,                   0,                   0,             0.16726,           0.0052395,            0.047107,              0.0937,              0.0007,              0.0007
                   1,             0.16169,           0.0077495,            0.044392,                   0,                   0,                   0,                   0,             0.15266,           0.0055132,            0.044788,              0.0865,           0.0014996,           0.0014996
                   2,             0.15077,           0.0075262,            0.040818,                   0,                   0,                   0,                   0,              0.1434,           0.0057306,            0.039142,            0.079299,           0.0022989,           0.0022989
                   3,              0.1432,           0.0077551,            0.034622,          0.00031172,              0.0625,           0.0044414,          0.00047266,             0.13965,           0.0057421,            0.031671,            0.072098,           0.0030977,           0.0030977
                   4,              0.1408,           0.0077222,            0.026596,            0.001442,             0.25625,           0.0056808,           0.0010702,             0.13754,           0.0058622,             0.02298,            0.064896,           0.0038961,           0.0038961
                   5,             0.13911,            0.007908,            0.019028,           0.0021761,             0.33125,           0.0098551,           0.0024095,             0.13765,           0.0057707,            0.014041,            0.057694,           0.0046942,           0.0046942
                   6,             0.13616,           0.0086379,            0.014157,             0.51682,              0.0625,             0.02483,           0.0089829,             0.13335,           0.0063362,           0.0089584,            0.050492,           0.0054918,           0.0054918
                   7,             0.13521,           0.0085816,           0.0082768,             0.51633,             0.15625,            0.070116,             0.01427,             0.13497,           0.0058613,           0.0058662,            0.043289,           0.0062891,           0.0062891
                   8,             0.12957,           0.0095749,           0.0089943,             0.39613,               0.175,              0.1409,            0.038299,             0.13291,           0.0057716,           0.0044342,            0.036086,           0.0070859,           0.0070859
                   9,             0.12737,           0.0093393,           0.0068105,             0.46931,             0.23535,             0.24451,            0.053316,             0.12872,           0.0055342,           0.0052231,            0.028882,           0.0078824,           0.0078824
                  10,             0.12539,           0.0083232,           0.0082237,              0.6276,               0.275,             0.13736,            0.034779,             0.12931,           0.0050516,            0.003437,            0.021678,           0.0086785,           0.0086785
                  11,             0.12397,           0.0083282,            0.004937,             0.73297,             0.26385,             0.26011,            0.061597,             0.12881,           0.0052605,           0.0028656,            0.014474,           0.0094741,           0.0094741
                  12,             0.12105,           0.0096232,           0.0048429,             0.79268,             0.35456,              0.3361,             0.11413,             0.12287,           0.0056381,           0.0025269,           0.0099703,           0.0099703,           0.0099703
                  13,             0.11668,           0.0083506,           0.0048757,             0.62684,             0.34742,             0.19702,            0.067315,             0.11938,           0.0069971,           0.0022999,           0.0099703,           0.0099703,           0.0099703
                  14,             0.11386,           0.0095998,           0.0044667,             0.19885,             0.51562,              0.2372,            0.071127,             0.12044,           0.0083055,           0.0028111,           0.0099678,           0.0099678,           0.0099678
                  15,             0.10936,            0.010368,           0.0047149,             0.60638,               0.475,             0.32803,            0.084855,             0.11712,           0.0090542,           0.0028534,           0.0099654,           0.0099654,           0.0099654
                  16,             0.10802,            0.010654,           0.0054655,             0.60764,             0.46512,             0.39858,             0.12385,             0.11657,           0.0096245,           0.0024124,           0.0099629,           0.0099629,           0.0099629
                  17,             0.10417,             0.01016,           0.0056131,             0.33727,             0.51562,             0.42043,             0.12947,              0.1093,           0.0084543,           0.0027843,           0.0099604,           0.0099604,           0.0099604
                  18,            0.098652,              0.0103,           0.0049332,             0.38959,             0.40625,             0.38314,             0.13496,               0.105,           0.0080404,           0.0022495,           0.0099579,           0.0099579,           0.0099579
                  19,            0.095367,            0.011243,           0.0045004,             0.33366,             0.60938,             0.46714,              0.1783,            0.097501,           0.0091877,           0.0026005,           0.0099555,           0.0099555,           0.0099555
                  20,            0.091651,            0.011441,           0.0043734,              0.5624,             0.39062,             0.43132,             0.15957,            0.099974,            0.010365,           0.0030537,            0.009953,            0.009953,            0.009953
                  21,            0.094273,            0.010582,              0.0046,             0.62995,             0.50223,             0.59329,             0.19755,            0.097523,           0.0092545,           0.0025387,           0.0099505,           0.0099505,           0.0099505
                  22,            0.092505,            0.011143,           0.0038149,             0.43003,             0.64583,             0.55302,             0.17488,             0.10191,           0.0083284,           0.0029449,            0.009948,            0.009948,            0.009948
                  23,            0.088092,           0.0096598,           0.0041476,             0.79296,             0.49062,             0.59755,             0.18044,            0.086774,            0.008749,           0.0036617,           0.0099456,           0.0099456,           0.0099456
                  24,            0.085552,            0.010535,           0.0040066,             0.71321,             0.53125,             0.57814,             0.20511,            0.085292,           0.0093803,            0.003487,           0.0099431,           0.0099431,           0.0099431
                  25,            0.081786,            0.010515,           0.0040258,             0.34104,             0.78364,             0.56488,             0.16156,            0.087058,           0.0091591,           0.0032501,           0.0099406,           0.0099406,           0.0099406
                  26,            0.086833,            0.010372,           0.0045961,             0.43929,             0.69752,             0.57482,             0.17036,            0.083999,           0.0092106,           0.0045002,           0.0099381,           0.0099381,           0.0099381
                  27,            0.082659,           0.0098221,           0.0044332,             0.42612,             0.63082,             0.58607,             0.15489,            0.084253,           0.0094128,           0.0047871,           0.0099357,           0.0099357,           0.0099357
                  28,            0.080821,            0.010491,           0.0039236,             0.53256,             0.72604,             0.70514,             0.21683,            0.081599,            0.008791,           0.0043144,           0.0099332,           0.0099332,           0.0099332
                  29,            0.080375,            0.010144,           0.0048125,             0.60293,             0.69583,             0.67163,              0.2835,            0.075837,           0.0083065,           0.0031303,           0.0099307,           0.0099307,           0.0099307
